WKT,name,mô tả
106.7953773 10.8627548,Làng ĐH,
106.7730919 10.8499007,Ngã tư thủ đức,
106.7532126 10.8613751,Phạm Văn Đồng,
106.7238255 10.8659467,Chợ đầu mối thủ đức,
106.7140253 10.8265111,ĐH Luật,
106.7534383 10.8050356,Pháp viện Minh Đăng Quang,
106.7139352 10.8012985,Hutech Bình Thạnh,
106.8036021 10.8251788,Khu CN cao,
106.6976021 10.7720711,Chợ Bến Thành,
106.6785477 10.8140586,Công viên Gia Định,
106.6415605 10.7663504,Đầm Sen,
106.6532914 10.7931035,Chợ Tân Bình,
106.6153542 10.8430699,Bến xe An Sương,
106.6175794 10.8017707,AEON Tân Phú,
106.6558176 10.8423092,Công viên làng hoa,
106.701613 10.7414417,LOTTE Mart Q7,
106.6562944 10.7334306,Bến xe Q8,
106.7749921 10.7700698,Cầu vượt Mỹ Thủy,
